性别,国籍,受教育水平,部门,学期,关系,家长是否回答文件,家长满意度,学生缺勤天数,学生成绩等级
男,其他,初中,部门2,学期2,父亲,否,不满意,超过7天,差
男,科威特,初中,部门2,学期2,父亲,是,满意,超过7天,中等
女,科威特,初中,部门2,学期2,母亲,是,满意,超过7天,中等
男,其他,初中,部门2,学期2,母亲,是,满意,7天以内,优秀
男,科威特,初中,部门2,学期2,母亲,是,不满意,7天以内,优秀
男,其他,初中,部门2,学期2,父亲,是,满意,7天以内,中等
男,科威特,初中,部门2,学期2,父亲,否,不满意,超过7天,差
男,其他,初中,部门2,学期2,父亲,否,不满意,超过7天,中等
男,科威特,初中,部门2,学期2,母亲,是,不满意,7天以内,优秀
女,科威特,初中,部门1,学期2,父亲,是,不满意,7天以内,中等
女,科威特,初中,部门1,学期2,父亲,是,满意,7天以内,优秀
女,科威特,初中,部门1,学期2,父亲,否,不满意,超过7天,中等
女,科威特,初中,部门1,学期2,父亲,否,不满意,超过7天,差
男,科威特,小学,部门1,学期2,父亲,否,满意,超过7天,中等
男,科威特,小学,部门1,学期2,父亲,是,满意,7天以内,优秀
男,其他,小学,部门1,学期2,母亲,否,满意,超过7天,差
女,科威特,小学,部门1,学期2,父亲,否,不满意,7天以内,中等
男,科威特,小学,部门1,学期2,父亲,否,不满意,超过7天,差
男,科威特,小学,部门1,学期2,父亲,是,满意,7天以内,优秀
男,科威特,小学,部门1,学期2,父亲,是,满意,7天以内,优秀
女,科威特,小学,部门1,学期2,母亲,否,满意,7天以内,优秀
女,科威特,小学,部门1,学期2,父亲,否,满意,7天以内,中等
女,科威特,小学,部门1,学期2,父亲,是,满意,7天以内,中等
男,科威特,小学,部门1,学期2,母亲,否,不满意,超过7天,差
男,科威特,小学,部门1,学期2,父亲,否,不满意,超过7天,差
男,科威特,小学,部门1,学期2,父亲,是,不满意,超过7天,中等
女,科威特,小学,部门1,学期2,母亲,是,满意,超过7天,中等
男,其他,小学,部门1,学期2,母亲,否,不满意,超过7天,中等
女,其他,初中,部门1,学期1,母亲,否,不满意,7天以内,中等
女,其他,初中,部门1,学期2,母亲,否,不满意,7天以内,优秀
男,其他,初中,部门1,学期1,父亲,是,满意,超过7天,中等
男,其他,初中,部门1,学期2,父亲,是,满意,超过7天,中等
男,其他,初中,部门1,学期1,父亲,是,不满意,超过7天,中等
男,其他,初中,部门1,学期2,父亲,是,不满意,超过7天,中等
女,其他,初中,部门1,学期1,母亲,否,满意,7天以内,优秀
女,其他,初中,部门1,学期2,母亲,否,满意,7天以内,中等
男,其他,初中,部门1,学期1,父亲,否,不满意,7天以内,中等
男,其他,初中,部门1,学期2,父亲,否,不满意,7天以内,优秀
女,其他,初中,部门1,学期1,母亲,是,满意,7天以内,优秀
女,其他,初中,部门1,学期2,母亲,是,满意,7天以内,优秀
男,其他,初中,部门1,学期1,母亲,是,满意,7天以内,优秀
男,其他,初中,部门1,学期2,母亲,是,满意,7天以内,优秀
男,其他,初中,部门1,学期1,母亲,否,满意,7天以内,中等
男,其他,初中,部门1,学期2,母亲,否,满意,7天以内,中等
男,其他,初中,部门1,学期1,母亲,否,满意,7天以内,优秀
男,其他,初中,部门1,学期2,母亲,否,满意,7天以内,优秀
女,其他,初中,部门1,学期1,母亲,否,满意,7天以内,优秀
女,其他,初中,部门1,学期2,母亲,否,满意,7天以内,优秀
男,其他,初中,部门1,学期1,父亲,否,不满意,超过7天,中等
男,其他,初中,部门1,学期2,父亲,是,不满意,超过7天,中等
女,其他,初中,部门1,学期1,母亲,是,满意,7天以内,优秀
女,其他,初中,部门1,学期2,母亲,是,满意,7天以内,优秀
男,其他,初中,部门1,学期1,母亲,是,满意,7天以内,中等
男,其他,初中,部门1,学期2,母亲,是,满意,7天以内,中等
女,其他,小学,部门1,学期1,父亲,否,不满意,超过7天,差
女,其他,小学,部门1,学期2,父亲,否,不满意,超过7天,差
女,其他,小学,部门1,学期1,母亲,是,满意,7天以内,优秀
女,其他,小学,部门1,学期2,母亲,是,满意,7天以内,优秀
男,其他,小学,部门1,学期1,父亲,是,满意,超过7天,中等
男,其他,小学,部门1,学期2,父亲,是,满意,超过7天,中等
女,其他,小学,部门1,学期1,母亲,否,满意,7天以内,优秀
女,其他,小学,部门1,学期2,母亲,否,满意,7天以内,优秀
男,其他,小学,部门1,学期1,父亲,否,满意,超过7天,中等
男,其他,小学,部门1,学期2,父亲,否,满意,超过7天,中等
男,其他,小学,部门1,学期1,父亲,否,不满意,超过7天,差
男,其他,小学,部门1,学期2,父亲,否,不满意,超过7天,差
女,其他,小学,部门2,学期1,母亲,否,不满意,7天以内,中等
女,其他,小学,部门2,学期2,母亲,否,不满意,7天以内,中等
女,其他,小学,部门2,学期1,父亲,是,不满意,7天以内,中等
女,其他,小学,部门2,学期2,父亲,是,不满意,7天以内,中等
男,其他,小学,部门2,学期1,母亲,是,满意,7天以内,优秀
男,其他,小学,部门2,学期2,母亲,是,满意,7天以内,优秀
男,其他,小学,部门2,学期1,母亲,是,满意,超过7天,中等
男,其他,小学,部门2,学期2,母亲,是,满意,超过7天,中等
男,其他,小学,部门2,学期1,父亲,否,满意,超过7天,中等
男,其他,小学,部门2,学期2,父亲,否,满意,超过7天,中等
女,其他,小学,部门2,学期1,母亲,是,满意,7天以内,优秀
女,其他,小学,部门2,学期2,母亲,是,满意,7天以内,优秀
女,其他,小学,部门2,学期1,母亲,是,满意,7天以内,优秀
女,其他,小学,部门2,学期2,母亲,是,满意,7天以内,优秀
男,其他,小学,部门1,学期1,母亲,是,满意,7天以内,优秀
男,其他,小学,部门1,学期2,母亲,是,满意,7天以内,优秀
女,其他,小学,部门1,学期1,母亲,是,满意,7天以内,优秀
女,其他,小学,部门1,学期2,母亲,是,满意,7天以内,优秀
女,其他,小学,部门1,学期1,母亲,是,满意,超过7天,中等
女,其他,小学,部门1,学期2,母亲,是,满意,超过7天,中等
男,其他,小学,部门1,学期1,父亲,否,不满意,超过7天,差
男,其他,小学,部门1,学期2,父亲,否,不满意,超过7天,差
男,其他,小学,部门1,学期1,父亲,否,不满意,7天以内,中等
男,其他,小学,部门1,学期2,父亲,否,不满意,7天以内,中等
男,其他,小学,部门1,学期1,父亲,否,不满意,超过7天,差
男,其他,小学,部门1,学期2,父亲,否,不满意,超过7天,差
女,其他,小学,部门1,学期1,母亲,是,满意,7天以内,中等
女,其他,小学,部门1,学期2,母亲,是,满意,7天以内,中等
男,其他,小学,部门1,学期1,父亲,否,满意,超过7天,差
男,其他,小学,部门1,学期2,父亲,否,满意,超过7天,差
女,其他,小学,部门1,学期1,母亲,否,满意,7天以内,中等
女,其他,小学,部门1,学期2,母亲,否,满意,7天以内,中等
男,其他,小学,部门1,学期1,母亲,否,满意,超过7天,差
男,其他,小学,部门1,学期2,母亲,否,满意,超过7天,差
女,其他,小学,部门1,学期1,母亲,否,满意,7天以内,中等
女,其他,小学,部门1,学期2,母亲,否,满意,7天以内,中等
女,其他,小学,部门2,学期1,父亲,否,满意,7天以内,中等
女,其他,小学,部门2,学期2,父亲,否,满意,7天以内,中等
女,其他,小学,部门2,学期1,父亲,否,满意,7天以内,中等
女,其他,小学,部门2,学期2,父亲,否,满意,7天以内,中等
男,其他,小学,部门2,学期1,母亲,否,不满意,7天以内,中等
男,其他,小学,部门2,学期2,母亲,否,不满意,7天以内,中等
女,其他,小学,部门2,学期1,母亲,否,满意,7天以内,优秀
女,其他,小学,部门2,学期1,母亲,否,满意,7天以内,优秀
女,其他,小学,部门2,学期2,母亲,否,满意,7天以内,优秀
女,其他,小学,部门2,学期2,母亲,否,满意,7天以内,优秀
男,其他,小学,部门2,学期1,母亲,否,满意,超过7天,差
男,其他,小学,部门2,学期2,母亲,否,满意,超过7天,差
男,其他,小学,部门2,学期1,母亲,否,满意,超过7天,差
男,其他,小学,部门2,学期2,母亲,否,满意,超过7天,差
女,其他,小学,部门2,学期1,母亲,是,满意,7天以内,中等
女,其他,小学,部门2,学期2,母亲,是,满意,7天以内,中等
男,其他,小学,部门2,学期1,母亲,是,满意,7天以内,优秀
男,其他,小学,部门2,学期2,母亲,是,满意,7天以内,优秀
男,其他,小学,部门2,学期1,父亲,是,满意,7天以内,中等
男,其他,小学,部门2,学期2,父亲,是,满意,7天以内,中等
女,其他,小学,部门2,学期1,母亲,是,满意,7天以内,优秀
女,其他,小学,部门2,学期2,母亲,是,满意,7天以内,优秀
男,其他,小学,部门1,学期1,父亲,是,满意,超过7天,中等
男,其他,小学,部门1,学期2,父亲,是,满意,超过7天,中等
男,其他,小学,部门1,学期1,父亲,是,满意,7天以内,优秀
男,其他,小学,部门1,学期2,父亲,是,满意,7天以内,优秀
男,其他,小学,部门1,学期1,父亲,是,满意,7天以内,优秀
男,其他,小学,部门1,学期2,父亲,是,满意,7天以内,优秀
男,其他,小学,部门1,学期1,父亲,是,满意,超过7天,中等
男,其他,小学,部门1,学期2,父亲,是,满意,超过7天,中等
女,其他,小学,部门1,学期1,母亲,否,满意,7天以内,优秀
女,其他,小学,部门1,学期2,母亲,否,满意,7天以内,优秀
男,其他,小学,部门1,学期1,父亲,否,不满意,7天以内,中等
男,其他,小学,部门1,学期2,父亲,否,不满意,7天以内,中等
女,其他,小学,部门1,学期1,父亲,否,不满意,超过7天,差
女,其他,小学,部门1,学期2,父亲,否,不满意,超过7天,差
男,其他,小学,部门2,学期1,父亲,否,不满意,超过7天,差
男,其他,小学,部门2,学期2,父亲,否,不满意,超过7天,差
男,其他,小学,部门2,学期1,母亲,是,不满意,超过7天,中等
男,其他,小学,部门2,学期2,母亲,是,不满意,超过7天,中等
男,其他,小学,部门2,学期1,父亲,是,不满意,超过7天,差
男,其他,小学,部门2,学期2,父亲,是,不满意,超过7天,差
女,其他,小学,部门2,学期1,父亲,否,不满意,超过7天,差
女,其他,小学,部门2,学期2,父亲,否,不满意,超过7天,差
男,其他,小学,部门2,学期1,母亲,是,满意,7天以内,优秀
男,其他,小学,部门2,学期2,母亲,是,满意,7天以内,优秀
女,其他,小学,部门2,学期1,母亲,是,满意,7天以内,优秀
女,其他,小学,部门2,学期2,母亲,是,满意,7天以内,优秀
男,其他,小学,部门2,学期1,母亲,是,满意,7天以内,中等
男,其他,小学,部门2,学期2,母亲,是,满意,7天以内,中等
男,其他,小学,部门2,学期1,母亲,否,满意,超过7天,差
男,其他,小学,部门2,学期2,母亲,否,满意,超过7天,差
女,其他,初中,部门1,学期1,母亲,是,满意,超过7天,中等
女,其他,初中,部门1,学期2,母亲,是,满意,超过7天,中等
女,其他,初中,部门1,学期1,母亲,是,满意,7天以内,优秀
女,其他,初中,部门1,学期2,母亲,是,满意,7天以内,优秀
男,其他,初中,部门1,学期1,母亲,是,满意,7天以内,优秀
男,其他,初中,部门1,学期2,母亲,是,满意,7天以内,优秀
男,其他,初中,部门1,学期1,父亲,是,不满意,7天以内,中等
男,其他,初中,部门1,学期2,父亲,是,不满意,7天以内,中等
男,其他,初中,部门1,学期1,父亲,是,满意,7天以内,优秀
男,其他,初中,部门1,学期2,父亲,是,满意,7天以内,优秀
男,其他,初中,部门1,学期1,父亲,否,满意,超过7天,中等
男,其他,初中,部门1,学期2,父亲,否,满意,超过7天,中等
男,其他,初中,部门1,学期1,父亲,否,满意,7天以内,优秀
男,其他,初中,部门1,学期2,父亲,否,满意,7天以内,优秀
女,其他,初中,部门1,学期1,母亲,是,满意,7天以内,优秀
女,其他,初中,部门1,学期2,母亲,是,满意,7天以内,优秀
男,其他,初中,部门1,学期1,母亲,否,不满意,超过7天,差
男,其他,初中,部门1,学期2,母亲,否,不满意,超过7天,差
男,其他,初中,部门2,学期1,父亲,否,不满意,7天以内,中等
男,其他,初中,部门2,学期2,父亲,否,不满意,7天以内,中等
女,其他,初中,部门2,学期1,母亲,否,满意,7天以内,优秀
女,其他,初中,部门2,学期2,母亲,否,满意,7天以内,优秀
男,其他,初中,部门2,学期1,父亲,是,满意,7天以内,中等
男,其他,初中,部门2,学期2,父亲,是,满意,7天以内,中等
女,其他,初中,部门2,学期1,母亲,否,满意,超过7天,差
女,其他,初中,部门2,学期2,母亲,否,满意,超过7天,差
男,其他,初中,部门2,学期1,父亲,是,满意,7天以内,优秀
男,其他,初中,部门2,学期2,父亲,是,满意,7天以内,优秀
男,其他,初中,部门2,学期1,父亲,是,满意,7天以内,优秀
男,其他,初中,部门2,学期2,父亲,是,满意,7天以内,优秀
女,其他,初中,部门1,学期1,母亲,是,满意,7天以内,优秀
女,其他,初中,部门1,学期2,母亲,是,满意,7天以内,优秀
女,其他,初中,部门1,学期1,母亲,是,满意,超过7天,中等
女,其他,初中,部门1,学期2,母亲,是,满意,超过7天,中等
女,其他,初中,部门1,学期1,母亲,是,满意,7天以内,优秀
女,其他,初中,部门1,学期2,母亲,是,满意,7天以内,优秀
男,其他,初中,部门1,学期1,母亲,是,满意,超过7天,中等
男,其他,初中,部门1,学期2,母亲,是,满意,超过7天,中等
男,其他,初中,部门1,学期1,父亲,否,不满意,超过7天,差
男,其他,初中,部门1,学期2,父亲,否,不满意,超过7天,差
男,其他,初中,部门1,学期1,父亲,否,不满意,7天以内,优秀
男,其他,初中,部门1,学期2,父亲,否,不满意,7天以内,优秀
男,其他,初中,部门1,学期1,父亲,否,不满意,7天以内,中等
男,其他,初中,部门1,学期2,父亲,否,不满意,7天以内,中等
男,其他,初中,部门1,学期1,母亲,是,满意,超过7天,中等
男,其他,初中,部门1,学期2,母亲,是,满意,超过7天,中等
男,其他,初中,部门1,学期1,母亲,是,满意,7天以内,中等
男,其他,初中,部门1,学期2,母亲,是,满意,7天以内,中等
男,其他,初中,部门1,学期1,母亲,是,满意,7天以内,中等
男,其他,初中,部门1,学期2,母亲,是,满意,7天以内,中等
男,其他,初中,部门1,学期1,母亲,是,满意,7天以内,中等
男,其他,初中,部门1,学期2,母亲,是,满意,7天以内,中等
男,其他,初中,部门1,学期1,母亲,是,满意,超过7天,中等
男,其他,初中,部门1,学期2,母亲,是,满意,超过7天,中等
男,其他,初中,部门1,学期1,母亲,是,满意,超过7天,差
男,其他,初中,部门1,学期2,母亲,是,满意,超过7天,差
男,其他,初中,部门1,学期1,母亲,是,满意,7天以内,中等
男,其他,初中,部门1,学期2,母亲,是,满意,7天以内,中等
男,其他,初中,部门1,学期1,母亲,是,满意,7天以内,优秀
男,其他,初中,部门1,学期2,母亲,是,满意,7天以内,优秀
女,其他,初中,部门1,学期1,父亲,是,满意,7天以内,优秀
女,其他,初中,部门1,学期2,父亲,是,满意,7天以内,优秀
女,其他,初中,部门1,学期1,父亲,是,满意,超过7天,中等
女,其他,初中,部门1,学期2,父亲,是,满意,超过7天,中等
女,其他,初中,部门1,学期1,父亲,是,满意,7天以内,中等
女,其他,初中,部门1,学期2,父亲,是,满意,7天以内,中等
女,其他,初中,部门1,学期1,父亲,是,满意,7天以内,优秀
女,其他,初中,部门1,学期2,父亲,是,满意,7天以内,优秀
男,其他,初中,部门1,学期1,父亲,是,满意,7天以内,优秀
男,其他,初中,部门1,学期2,父亲,是,满意,7天以内,优秀
男,其他,初中,部门1,学期1,父亲,是,满意,超过7天,中等
男,其他,初中,部门1,学期2,父亲,是,满意,超过7天,中等
男,其他,初中,部门1,学期1,父亲,是,满意,超过7天,中等
男,其他,初中,部门1,学期2,父亲,是,满意,超过7天,中等
女,其他,初中,部门1,学期1,母亲,是,满意,7天以内,优秀
女,其他,初中,部门1,学期2,母亲,是,满意,7天以内,优秀
女,其他,初中,部门1,学期1,母亲,是,满意,7天以内,优秀
女,其他,初中,部门1,学期2,母亲,是,满意,7天以内,优秀
女,其他,初中,部门1,学期1,父亲,否,不满意,超过7天,差
女,其他,初中,部门1,学期2,父亲,否,不满意,超过7天,差
男,其他,初中,部门1,学期1,父亲,是,满意,7天以内,中等
男,其他,初中,部门1,学期2,父亲,是,满意,7天以内,中等
男,其他,初中,部门1,学期1,父亲,是,满意,7天以内,中等
男,其他,初中,部门1,学期2,父亲,是,满意,7天以内,中等
女,其他,初中,部门1,学期1,父亲,否,不满意,超过7天,差
女,其他,初中,部门1,学期2,父亲,否,不满意,超过7天,差
女,其他,初中,部门1,学期1,父亲,否,不满意,7天以内,中等
女,其他,初中,部门1,学期2,父亲,否,不满意,7天以内,中等
女,其他,初中,部门1,学期1,父亲,否,不满意,超过7天,差
女,其他,初中,部门1,学期2,父亲,否,不满意,超过7天,差
